VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
1,8,0,0,1,0,0,1,Carabayllo
1,3,0,0,1,0,0,1,Carabayllo
1,3,0,0,1,0,0,1,Carabayllo
1,10,0,0,1,1,0,0,Carabayllo
1,13,0,0,1,0,0,1,Carabayllo
1,9,0,0,1,0,0,1,San Juan de Lurigancho
1,31,0,0,1,0,0,1,Carabayllo
1,28,0,1,1,0,1,1,Carabayllo
1,33,0,1,1,0,0,1,Carabayllo
1,23,0,0,1,0,0,1,Carabayllo
1,46,0,0,1,0,0,1,Carabayllo
1,18,0,0,1,0,0,1,Carabayllo
1,17,0,0,1,0,0,1,Carabayllo
1,10,0,0,1,0,0,1,Carabayllo
1,15,0,0,1,1,0,1,Carabayllo
1,42,0,1,1,0,0,1,Carabayllo
1,9,0,0,1,0,0,1,Carabayllo
1,22,0,0,1,0,0,1,Carabayllo
1,47,0,1,1,0,0,1,Carabayllo
1,5,0,0,1,1,0,1,Carabayllo
1,37,0,1,1,0,0,1,Carabayllo
1,11,0,0,1,0,0,1,Carabayllo
1,10,0,0,1,0,0,0,Carabayllo
1,39,0,0,1,0,0,0,Carabayllo
1,13,0,0,1,0,0,1,Carabayllo
1,9,0,0,1,0,0,1,Carabayllo
1,28,0,1,1,0,0,1,Carabayllo
1,8,0,0,1,1,0,1,Carabayllo
1,33,0,1,1,0,1,1,Carabayllo
1,40,0,0,1,0,0,1,Carabayllo
1,13,0,0,1,0,0,1,Carabayllo
1,13,0,0,1,0,0,1,Carabayllo
1,44,0,1,1,0,1,1,Carabayllo
1,7,0,0,1,0,0,0,Carabayllo
1,49,0,0,1,0,0,1,Carabayllo
1,11,0,0,1,1,0,1,Carabayllo
1,18,0,0,1,0,0,1,Comas
1,32,0,0,1,0,0,1,Carabayllo
1,17,0,0,1,0,0,1,Carabayllo
1,24,0,1,1,0,0,1,Carabayllo
1,3,0,0,1,0,0,1,Carabayllo
1,1,0,0,1,0,0,1,Carabayllo
1,32,0,1,1,0,0,1,Carabayllo
1,32,0,1,1,0,0,1,Carabayllo
1,30,1,0,1,0,1,1,Carabayllo
1,43,0,1,1,0,1,1,Carabayllo
1,43,0,1,1,0,1,1,Carabayllo
0,22,0,1,1,0,0,0,Carabayllo
1,55,0,0,1,0,0,0,Carabayllo
1,51,0,0,1,0,0,1,Carabayllo
1,64,0,0,1,0,0,1,Carabayllo
1,19,1,0,1,0,0,1,Carabayllo
1,21,0,0,1,0,1,1,Carabayllo
1,16,0,0,1,1,0,1,Carabayllo
1,13,0,0,1,1,0,1,Carabayllo
1,19,0,0,1,0,0,1,Comas
1,27,0,1,1,0,1,1,Carabayllo
1,10,0,0,1,0,0,1,Carabayllo
1,46,0,1,1,0,0,1,Carabayllo
1,7,0,0,1,0,0,1,Carabayllo
1,15,0,0,1,1,0,1,Carabayllo
1,15,0,0,1,1,0,1,Carabayllo
1,15,0,0,1,1,0,1,Carabayllo
1,15,0,0,1,1,0,1,Carabayllo
1,11,0,0,1,1,0,1,Carabayllo
1,31,0,1,1,0,0,1,Carabayllo
1,18,0,1,1,0,0,1,Carabayllo
1,16,0,0,1,1,0,1,Carabayllo
1,16,0,0,1,1,0,1,Carabayllo
1,16,0,0,1,1,0,1,Carabayllo
1,46,0,1,1,0,1,1,Carabayllo
1,10,0,0,1,1,0,1,Carabayllo
1,28,0,0,1,0,0,1,Carabayllo
1,32,0,1,1,0,0,1,Carabayllo
1,11,0,0,1,1,0,1,Carabayllo
1,8,0,0,1,1,0,1,Carabayllo
1,38,0,1,1,0,0,1,Carabayllo
1,47,0,1,1,0,1,1,Carabayllo
1,47,0,1,1,0,1,1,Carabayllo
1,32,0,0,1,0,0,1,Carabayllo
1,39,0,0,1,0,1,1,Carabayllo
1,12,0,0,1,0,0,1,Carabayllo
1,37,0,0,1,0,0,0,Carabayllo
1,7,0,0,1,0,0,0,Carabayllo
1,7,0,0,1,0,0,0,Carabayllo
1,29,0,1,1,0,1,1,Carabayllo
1,22,0,1,1,0,0,1,Carabayllo
1,22,0,1,1,0,0,1,Carabayllo
1,22,0,1,1,0,0,1,Carabayllo
1,6,0,0,1,1,0,1,Carabayllo
1,6,0,0,1,1,0,1,Carabayllo
1,45,0,1,1,0,0,1,Carabayllo
1,39,0,1,1,0,1,1,Carabayllo
1,16,0,0,1,1,0,1,Carabayllo
1,6,0,0,1,1,0,1,Carabayllo
1,23,0,1,1,0,0,1,Carabayllo
1,70,0,0,1,0,0,1,Carabayllo
1,35,0,0,1,0,0,1,Carabayllo
1,50,0,1,1,0,1,1,Carabayllo
1,37,0,1,1,0,1,1,Carabayllo
1,46,0,1,1,0,0,1,Carabayllo
1,15,0,0,1,0,0,1,Carabayllo
1,4,0,0,1,1,0,1,Carabayllo
1,4,0,0,1,1,0,1,Carabayllo
1,22,0,1,1,0,0,1,Carabayllo
0,4,0,0,1,1,0,0,Carabayllo
0,4,0,0,1,1,0,0,Carabayllo
0,4,0,0,1,1,0,0,Carabayllo
0,29,0,1,1,0,0,0,Carabayllo
1,16,0,0,1,1,0,1,Carabayllo
1,13,0,0,1,1,0,1,Carabayllo
1,13,0,0,1,1,0,1,Carabayllo
1,82,0,0,1,0,0,1,Carabayllo
1,82,0,0,1,0,0,1,Carabayllo
1,18,0,0,1,0,0,1,Carabayllo
1,78,0,0,1,0,1,1,Carabayllo
1,10,0,0,1,1,0,1,Carabayllo
1,17,0,0,1,0,0,1,Carabayllo
1,17,0,0,1,0,0,1,Carabayllo
1,12,0,0,1,1,0,1,Carabayllo
1,12,0,0,1,1,0,1,Carabayllo
1,12,0,0,1,1,0,1,Carabayllo
1,12,0,0,1,1,0,1,Carabayllo
1,55,0,1,1,0,1,1,Los Olivos
1,36,0,1,1,0,0,1,Chaclacayo
1,25,0,1,1,0,0,1,Chaclacayo
1,5,0,0,1,1,0,1,Chaclacayo
1,31,0,1,1,0,0,0,Ate
1,40,0,1,1,0,0,1,Chaclacayo
1,40,0,1,1,0,0,1,Chaclacayo
1,35,0,1,1,0,0,1,Chaclacayo
1,56,0,1,1,0,0,1,Chaclacayo
1,16,0,0,1,1,0,1,Lurigancho
1,39,0,1,1,0,1,1,Chaclacayo
1,14,0,0,1,1,0,0,Chaclacayo
1,14,0,0,1,1,0,0,Chaclacayo
1,12,0,0,1,1,0,1,Chaclacayo
1,38,0,0,1,0,1,0,Chaclacayo
1,31,0,1,1,0,0,1,Chaclacayo
1,34,0,1,1,0,0,1,Chaclacayo
1,30,0,1,1,0,1,1,Chaclacayo
1,10,0,0,1,0,0,1,Lurigancho
1,10,0,0,1,0,0,1,Lurigancho
1,15,0,0,1,1,0,1,Lurigancho
1,10,0,0,1,0,0,1,Lurigancho
1,33,1,1,1,0,0,0,Chaclacayo
1,55,0,0,1,0,1,1,Chaclacayo
1,69,0,1,1,0,1,0,Chaclacayo
1,39,0,1,1,0,0,1,Chaclacayo
1,39,0,1,1,0,0,1,Chaclacayo
1,30,0,0,1,0,1,1,Chaclacayo
0,58,0,1,1,0,0,1,Chaclacayo
1,34,0,1,1,0,1,0,Chaclacayo
1,82,0,1,1,0,0,1,Chaclacayo
1,60,0,1,1,0,0,1,Chaclacayo
1,21,0,1,1,0,0,1,Chaclacayo
1,30,0,1,1,0,1,1,Chaclacayo
1,2,0,0,1,0,0,1,Chaclacayo
1,40,1,0,1,0,1,1,Chaclacayo
1,37,0,1,1,0,1,1,Lurigancho
1,13,0,0,1,0,0,1,Ate
1,19,0,0,1,0,1,1,Ate
1,46,0,1,1,0,0,1,Ate
0,28,0,0,1,0,1,0,Chaclacayo
0,28,0,0,1,0,1,0,Chaclacayo
1,12,0,0,1,1,0,1,Chaclacayo
1,12,0,0,1,1,0,1,Chaclacayo
1,12,0,0,1,1,0,1,Chaclacayo
1,52,0,1,1,0,1,0,Lurigancho
1,52,0,1,1,0,1,0,Lurigancho
1,52,0,1,1,0,1,0,Lurigancho
1,10,0,0,1,1,0,1,Lurigancho
1,15,0,0,1,1,0,1,Ate
1,15,0,0,1,1,0,1,Ate
1,15,0,0,1,1,0,1,Ate
1,49,0,1,1,0,0,0,Chaclacayo
1,13,0,0,1,1,0,1,Chaclacayo
1,14,0,0,1,1,0,1,Chaclacayo
1,33,0,1,1,0,1,1,Chaclacayo
1,35,0,1,1,1,0,1,Chaclacayo
1,15,0,0,1,1,0,1,Lurigancho
1,15,0,0,1,0,0,1,Lurigancho
1,11,0,0,1,1,0,1,Lurigancho
1,76,0,1,1,0,1,1,Chaclacayo
1,60,0,1,1,0,1,1,Chaclacayo
1,60,0,1,1,0,1,1,Chaclacayo
1,22,0,0,1,0,0,1,Chaclacayo
1,41,0,1,1,0,1,1,Chaclacayo
1,53,0,1,1,0,1,1,Chaclacayo
1,44,0,1,1,0,0,1,Chaclacayo
1,53,0,1,1,0,0,1,Chaclacayo
1,79,0,1,1,0,0,1,Chaclacayo
1,79,0,1,1,0,0,1,Chaclacayo
1,25,0,1,1,0,1,1,Chaclacayo
1,14,0,0,1,1,0,1,Chaclacayo
1,40,0,1,1,0,0,0,Chaclacayo
1,35,0,0,1,1,1,0,Chaclacayo
1,27,0,1,1,0,1,1,Chaclacayo
1,32,0,1,1,0,1,1,Lurigancho
1,18,0,0,1,1,0,1,Chaclacayo
1,23,0,1,1,0,0,1,Lurigancho
1,23,0,1,1,0,1,1,Chaclacayo
0,47,0,1,1,0,0,0,Lurigancho
1,62,0,1,1,0,0,1,Chaclacayo
1,40,0,1,1,0,1,1,Chaclacayo
1,27,1,1,1,0,1,1,Lurigancho
1,39,0,1,1,0,1,1,Ate
0,21,0,0,1,0,0,0,Ate
1,33,0,1,1,0,1,1,Santa Anita
1,48,0,1,1,0,0,1,Santa Anita
1,58,0,1,1,0,0,1,Santa Anita
1,22,0,1,1,0,0,1,Puente Piedra
1,13,0,0,1,1,0,0,Lurigancho
